"",,,"2018-2022",,
"Brazil","Total area of the country (excl. coastal water) (1000 ha)",2018,851577.0,"E",
"Brazil","Arable land area (1000 ha)",2018,55762.0,"X",
"Brazil","Permanent crops area (1000 ha)",2018,7756.0,"X",
"Brazil","Cultivated area (arable land + permanent crops) (1000 ha)",2018,63518.0,"X",
"Brazil","% of total country area cultivated (%)",2018,7.4588674894,"E",
"Brazil","% of cultivated land irrigated [harvested crop] (%)",2018,13.2419156774,"E",
"Brazil","Total population (1000 inhab)",2018,209469.323,"X",
"Brazil","Rural population (1000 inhab)",2018,28321.495,"X",
"Brazil","Urban population (1000 inhab)",2018,182546.459,"X",
"Brazil","Population density (inhab/km2)",2018,24.5978135859,"E",
"Brazil","Gross Domestic Product (GDP) (current US$)",2018,1.885469424092E12,"X",
"Brazil","GDP per capita (current US$/inhab)",2018,8861.531858,"X",
"Brazil","Agriculture, value added (% GDP) (%)",2018,4.418538,"X",
"Brazil","Agriculture, value added to GDP (current US$)",2018,8.1495438463E10,"X",
"Brazil","Industry, value added to GDP (current US$)",2018,3.02661E11,"X",
"Brazil","Services, value added to GDP (current US$)",2018,1.21228E12,"X",
"Brazil","Human Development Index (HDI) [highest = 1] (-)",2018,0.761,"X",
"Brazil","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",2018,0.4569,"I",
"Brazil","Prevalence of undernourishment (3-year average) (%)",2018,2.6,"I",
"Brazil","Number of people undernourished (3-year average) (1000 inhab)",2018,5200.0,"I",
"Brazil","% of agricultural GVA produced by irrigated agriculture (%)",2018,21.9355274748,"E",
"Brazil","GDP Deflator (2015) (-)",2018,105.363,"X",
"Brazil","Long-term average annual precipitation in depth (mm/year)",2018,1761.0,"",
"Brazil","Long-term average annual precipitation in volume (10^9 m3/year)",2018,14996.27097,"E",
"Brazil","National Rainfall Index (NRI) (mm/yr)",2018,1934.0,"I",
"Brazil","Surface water produced internally (10^9 m3/yr)",2018,5661.0,"",
"Brazil","Groundwater produced internally (10^9 m3/yr)",2018,645.6,"",
"Brazil","Overlap between surface water and groundwater (10^9 m3/yr)",2018,645.6,"",
"Brazil","Total internal renewable water resources (IRWR) (10^9 m3/yr)",2018,5661.0,"E",
"Brazil","Total internal renewable water resources per capita (m3/inhab/yr)",2018,27025.4370373842,"E",
"Brazil","Surface water: entering the country (total) (10^9 m3/yr)",2018,2986.0,"",
"Brazil","Surface water: inflow not submitted to treaties (10^9 m3/yr)",2018,2986.0,"",
"Brazil","Surface water: inflow submitted to treaties (10^9 m3/yr)",2018,0.0,"",
"Brazil","Surface water: inflow secured through treaties (10^9 m3/yr)",2018,0.0,"",
"Brazil","Surface water: total flow of border rivers (10^9 m3/year)",2018,0.0,"",
"Brazil","Surface water: accounted flow of border rivers (10^9 m3/yr)",2018,0.0,"",
"Brazil","Surface water: accounted inflow (10^9 m3/yr)",2018,2986.0,"E",
"Brazil","Surface water: leaving the country to other countries (total) (10^9 m3/year)",2018,585.7,"",
"Brazil","Surface water: outflow to other countries not submitted to treaties (10^9 m3/year)",2018,585.7,"",
"Brazil","Surface water: outflow to other countries submitted to treaties (10^9 m3/year)",2018,0.0,"",
"Brazil","Surface water: outflow to other countries secured through treaties (10^9 m3/year)",2018,0.0,"",
"Brazil","Surface water: total external renewable (10^9 m3/yr)",2018,2986.0,"E",
"Brazil","Groundwater: entering the country (total) (10^9 m3/yr)",2018,0.0,"",
"Brazil","Groundwater: accounted inflow (10^9 m3/yr)",2018,0.0,"",
"Brazil","Groundwater: leaving the country to other countries (total) (10^9 m3/year)",2018,0.0,"",
"Brazil","Groundwater: accounted outflow to other countries (10^9 m3/year)",2018,0.0,"",
"Brazil","Water resources: total external renewable (10^9 m3/yr)",2018,2986.0,"E",
"Brazil","Total renewable surface water (10^9 m3/yr)",2018,8647.0,"E",
"Brazil","Total renewable groundwater (10^9 m3/yr)",2018,645.6,"E",
"Brazil","Overlap: between surface water and groundwater (10^9 m3/yr)",2018,645.6,"E",
"Brazil","Total renewable water resources (10^9 m3/yr)",2018,8647.0,"E",
"Brazil","Dependency ratio (%)",2018,34.5322077021,"E",
"Brazil","Total renewable water resources per capita (m3/inhab/yr)",2018,41280.5076951531,"E",
"Brazil","Exploitable: regular renewable surface water (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year)",,,"",
"Brazil","Exploitable: irregular renewable surface water (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year)",,,"",
"Brazil","Exploitable: total renewable surface water (10^9 m3/yr)",,,"",
"Brazil","Exploitable: regular renewable groundwater (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year)",,,"",
"Brazil","Total exploitable water resources (10^9 m3/yr)",,,"",
"Brazil","Interannual variability (WRI) (-)",2018,1.7,"I",
"Brazil","Seasonal variability (WRI) (-)",2018,2.5,"I",
"Brazil","Total dam capacity (km<sup>3</sup>)",2018,700.4359,"E",
"Brazil","Dam capacity per capita (m3/inhab)",2018,3343.859091004,"E",
