

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,1962,5.46666678E8,"X","","6686"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,1967,1.673333419E9,"X","","6686"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,1972,1.647900178E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,1977,2.864939207E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,1982,3.430645143E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,1987,2.983743471E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,1992,3.444711414E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,1997,2.924589326E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,2002,4.141523943E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,2007,9.412161765E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,2012,1.9136499341E10,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,2017,1.8623026651E10,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,2018,1.79869675E10,"X","","0"
"Afghanistan",4,"GDP per capita",4458,1972,136.117015,"X","","0"
"Afghanistan",4,"GDP per capita",4458,1977,226.005343,"X","","0"
"Afghanistan",4,"GDP per capita",4458,1982,269.723949,"X","","0"
"Afghanistan",4,"GDP per capita",4458,1987,251.026688,"X","","0"
"Afghanistan",4,"GDP per capita",4458,1992,248.51889,"X","","0"
"Afghanistan",4,"GDP per capita",4458,1997,164.092893,"X","","0"
"Afghanistan",4,"GDP per capita",4458,2002,194.958382,"X","","0"
"Afghanistan",4,"GDP per capita",4458,2007,389.985586,"X","","0"
"Afghanistan",4,"GDP per capita",4458,2012,694.885618,"X","","0"
"Afghanistan",4,"GDP per capita",4458,2017,605.557362,"X","","0"
"Afghanistan",4,"GDP per capita",4458,2018,563.983834,"X","","0"
"Afghanistan",4,"Agriculture, value added (% GDP)",4113,1972,50.242445,"X","","0"
"Afghanistan",4,"Agriculture, value added (% GDP)",4113,1977,50.251923,"X","","0"
"Afghanistan",4,"Agriculture, value added (% GDP)",4113,1982,50.326386,"X","","0"
"Afghanistan",4,"Agriculture, value added (% GDP)",4113,1987,48.000827,"X","","0"
"Afghanistan",4,"Agriculture, value added (% GDP)",4113,1992,54.207106,"X","","0"
