

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1977,20.3099903056,"I","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1982,30.1389994387,"I","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,39.9680085719,"E","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1992,35.9104803049,"E","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1997,31.852952038,"E","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,31.0454615031,"I","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2007,31.0454615031,"I","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,31.0454615031,"I","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,31.0454615031,"I","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2018,31.0454615031,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,1987,39.5683453237,"E","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,1992,35.4981005524,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,1997,31.4278557811,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2002,30.6138068269,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2007,30.6138068269,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2012,30.6138068269,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2017,30.6138068269,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2018,30.6138068269,"I","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,1977,35.8221292297,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,1982,53.1582298416,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,1987,70.4943304536,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,1992,63.3377882916,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,1997,56.1812461297,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2002,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2007,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2012,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2017,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2018,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,1992,0.24040038,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,1997,0.194589786,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2002,0.2856069809,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2007,0.5498464864,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2012,0.7707739253,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2017,0.9114308384,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2018,0.9359166322,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,1992,0.0921430477,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,1997,0.0858204429,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2002,0.0747695983,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2007,0.110352981,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2012,0.1038009101,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2017,0.1189455716,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2018,0.1021315225,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,1992,25.3114125419,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,1997,9.0914078286,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2002,11.4262851638,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2007,20.8152837131,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2012,23.2271148411,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2017,27.851984628,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2018,31.2200593054,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Services Water Use Efficiency",4554,1987,11.3352635288,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Services Water Use Efficiency",4554,1992,10.2371710596,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Services Water Use Efficiency",4554,1997,7.7633377724,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Services Water Use Efficiency",4554,2002,15.2526151656,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Services Water Use Efficiency",4554,2007,26.8766827561,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Services Water Use Efficiency",4554,2012,47.639557198,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Services Water Use Efficiency",4554,2017,56.3847910587,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Services Water Use Efficiency",4554,2018,57.6839009511,"E","","0"
"Albania",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1992,3.9190728477,"E","","0"
"Albania",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1997,4.7366225166,"E","","0"
"Albania",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,5.5070198675,"E","","0"
"Albania",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2007,4.131589404,"E","","0"
"Albania",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,3.7229801325,"E","","0"
"Albania",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,3.6125827815,"E","","0"
"Albania",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2018,3.1721854305,"E","","0"
"Albania",8,"Agricultural water withdrawal as % of total renewable water resources",4273,1992,2.8741721854,"I","","0"
"Albania",8,"Agricultural water withdrawal as % of total renewable water resources",4273,1997,2.7350993377,"I","","0"
"Albania",8,"Agricultural water withdrawal as % of total renewable water resources",4273,2002,2.9112582781,"I","","0"
"Albania",8,"Agricultural water withdrawal as % of total renewable water resources",4273,2007,1.7589403974,"I","","0"
"Albania",8,"Agricultural water withdrawal as % of total renewable water resources",4273,2012,1.9841059603,"I","","0"
"Albania",8,"Agricultural water withdrawal as % of total renewable water resources",4273,2017,2.3145695364,"E","","0"
"Albania",8,"Agricultural water withdrawal as % of total renewable water resources",4273,2018,2.1622516556,"E","","0"
"Albania",8,"SDG 6.4.2. Water Stress",4550,1992,7.1127403846,"E","","0"
"Albania",8,"SDG 6.4.2. Water Stress",4550,1997,8.5965144231,"E","","0"
"Albania",8,"SDG 6.4.2. Water Stress",4550,2002,9.9947115385,"E","","0"
"Albania",8,"SDG 6.4.2. Water Stress",4550,2007,7.4984375,"E","","0"
"Albania",8,"SDG 6.4.2. Water Stress",4550,2012,6.7568509615,"E","","0"
"Albania",8,"SDG 6.4.2. Water Stress",4550,2017,6.5564903846,"E","","0"
"Albania",8,"SDG 6.4.2. Water Stress",4550,2018,5.7572115385,"E","","0"
"Albania",8,"SDG 6.4.1. Water Use Efficiency",4551,2002,2.9516696035,"I","","0"
"Albania",8,"SDG 6.4.1. Water Use Efficiency",4551,2007,5.3735433674,"I","","0"
"Albania",8,"SDG 6.4.1. Water Use Efficiency",4551,2012,7.3117126521,"I","","0"
"Albania",8,"SDG 6.4.1. Water Use Efficiency",4551,2017,8.6571549372,"I","","0"
"Albania",8,"SDG 6.4.1. Water Use Efficiency",4551,2018,10.27139442,"I","","0"
"Albania",8,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2002,0.367061048,"E","","0"
"Albania",8,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2007,0.7081764179,"E","","0"
"Albania",8,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2012,1.4443717209,"E","","0"
"Albania",8,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2017,1.5802740397,"E","","0"
"Albania",8,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2018,1.6773330252,"E","","0"
