Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Total population with access to safe drinking-water (JMP),4114.0,1992.0,21.3,X,-,6603.0,%,"(1988, 1992)",AFG
Afghanistan,4.0,Total population with access to safe drinking-water (JMP),4114.0,1997.0,25.0,X,-,6603.0,%,"(1993, 1997)",AFG
Afghanistan,4.0,Total population with access to safe drinking-water (JMP),4114.0,2002.0,33.8,X,-,6603.0,%,"(1998, 2002)",AFG
Afghanistan,4.0,Total population with access to safe drinking-water (JMP),4114.0,2007.0,42.6,X,-,6603.0,%,"(2003, 2007)",AFG
Afghanistan,4.0,Total population with access to safe drinking-water (JMP),4114.0,2012.0,51.6,X,-,6603.0,%,"(2008, 2012)",AFG
Afghanistan,4.0,Total population with access to safe drinking-water (JMP),4114.0,2017.0,55.3,I,-,0.0,%,"(2013, 2017)",AFG
Afghanistan,4.0,Total population with access to safe drinking-water (JMP),4114.0,2018.0,55.3,I,-,0.0,%,"(2018, 2022)",AFG
Afghanistan,4.0,Rural population with access to safe drinking-water (JMP),4115.0,1992.0,16.2,X,-,6603.0,%,"(1988, 1992)",AFG
Afghanistan,4.0,Rural population with access to safe drinking-water (JMP),4115.0,1997.0,19.5,X,-,6603.0,%,"(1993, 1997)",AFG
Afghanistan,4.0,Rural population with access to safe drinking-water (JMP),4115.0,2002.0,27.6,X,-,6603.0,%,"(1998, 2002)",AFG
Afghanistan,4.0,Rural population with access to safe drinking-water (JMP),4115.0,2007.0,35.6,X,-,6603.0,%,"(2003, 2007)",AFG
Afghanistan,4.0,Rural population with access to safe drinking-water (JMP),4115.0,2012.0,43.7,X,-,6603.0,%,"(2008, 2012)",AFG
Afghanistan,4.0,Rural population with access to safe drinking-water (JMP),4115.0,2017.0,47.0,I,-,0.0,%,"(2013, 2017)",AFG
Afghanistan,4.0,Rural population with access to safe drinking-water (JMP),4115.0,2018.0,47.0,I,-,0.0,%,"(2018, 2022)",AFG
Afghanistan,4.0,Urban population with access to safe drinking-water (JMP),4116.0,1992.0,43.0,X,-,6603.0,%,"(1988, 1992)",AFG
Afghanistan,4.0,Urban population with access to safe drinking-water (JMP),4116.0,1997.0,46.7,X,-,6603.0,%,"(1993, 1997)",AFG
Afghanistan,4.0,Urban population with access to safe drinking-water (JMP),4116.0,2002.0,55.9,X,-,6603.0,%,"(1998, 2002)",AFG
Afghanistan,4.0,Urban population with access to safe drinking-water (JMP),4116.0,2007.0,65.2,X,-,6603.0,%,"(2003, 2007)",AFG
Afghanistan,4.0,Urban population with access to safe drinking-water (JMP),4116.0,2012.0,74.5,X,-,6603.0,%,"(2008, 2012)",AFG
Afghanistan,4.0,Urban population with access to safe drinking-water (JMP),4116.0,2017.0,78.2,I,-,0.0,%,"(2013, 2017)",AFG
Afghanistan,4.0,Urban population with access to safe drinking-water (JMP),4116.0,2018.0,78.2,I,-,0.0,%,"(2018, 2022)",AFG
Albania,8.0,Total population with access to safe drinking-water (JMP),4114.0,1997.0,95.8,X,-,6603.0,%,"(1993, 1997)",ALB
Albania,8.0,Total population with access to safe drinking-water (JMP),4114.0,2002.0,96.1,X,-,6603.0,%,"(1998, 2002)",ALB
Albania,8.0,Total population with access to safe drinking-water (JMP),4114.0,2007.0,95.9,X,-,6603.0,%,"(2003, 2007)",ALB
Albania,8.0,Total population with access to safe drinking-water (JMP),4114.0,2012.0,95.4,X,-,6603.0,%,"(2008, 2012)",ALB
Albania,8.0,Total population with access to safe drinking-water (JMP),4114.0,2017.0,95.1,I,-,0.0,%,"(2013, 2017)",ALB
