Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,1967.0,2297.0,E,-,6027.0,· 1000 ha,"(1963, 1967)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,1972.0,2344.7142857143,I,-,0.0,· 1000 ha,"(1968, 1972)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,1977.0,2392.4285714286,I,-,0.0,· 1000 ha,"(1973, 1977)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,1982.0,2440.1428571429,I,-,0.0,· 1000 ha,"(1978, 1982)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,1987.0,2487.8571428571,I,-,0.0,· 1000 ha,"(1983, 1987)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,1992.0,2535.5714285714,I,-,0.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,1997.0,2583.2857142857,I,-,0.0,· 1000 ha,"(1993, 1997)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,2002.0,2631.0,E,-,0.0,· 1000 ha,"(1998, 2002)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,2007.0,2631.0,I,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,2012.0,2631.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,2017.0,2631.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Area equipped for irrigation by surface water,4321.0,2018.0,2631.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Area equipped for irrigation by groundwater,4320.0,1967.0,418.1,E,-,6027.0,· 1000 ha,"(1963, 1967)",AFG
Afghanistan,4.0,Area equipped for irrigation by groundwater,4320.0,1972.0,440.8285714286,I,-,0.0,· 1000 ha,"(1968, 1972)",AFG
Afghanistan,4.0,Area equipped for irrigation by groundwater,4320.0,1977.0,463.5571428571,I,-,0.0,· 1000 ha,"(1973, 1977)",AFG
Afghanistan,4.0,Area equipped for irrigation by groundwater,4320.0,1982.0,486.2857142857,I,-,0.0,· 1000 ha,"(1978, 1982)",AFG
Afghanistan,4.0,Area equipped for irrigation by groundwater,4320.0,1987.0,509.0142857143,I,-,0.0,· 1000 ha,"(1983, 1987)",AFG
Afghanistan,4.0,Area equipped for irrigation by groundwater,4320.0,1992.0,531.7428571429,I,-,0.0,· 1000 ha,"(1988, 1992)",AFG
