Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,1967.0,114.0,I,-,0.0,· 1000 ha,"(1963, 1967)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,1972.0,114.0,I,-,0.0,· 1000 ha,"(1968, 1972)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,1977.0,114.0,I,-,0.0,· 1000 ha,"(1973, 1977)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,1982.0,114.0,I,-,0.0,· 1000 ha,"(1978, 1982)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,1987.0,114.0,I,-,0.0,· 1000 ha,"(1983, 1987)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,1992.0,114.0,I,-,0.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,1997.0,114.0,I,-,0.0,· 1000 ha,"(1993, 1997)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,2002.0,114.0,I,-,0.0,· 1000 ha,"(1998, 2002)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,2007.0,114.0,I,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,2012.0,114.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,2017.0,114.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: sprinkler irrigation,4309.0,2018.0,114.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,1967.0,2715.0,-,-,6025.0,· 1000 ha,"(1963, 1967)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,1972.0,2808.0769230769,I,-,0.0,· 1000 ha,"(1968, 1972)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,1977.0,2901.1538461538,I,-,0.0,· 1000 ha,"(1973, 1977)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,1982.0,2994.2307692308,I,-,0.0,· 1000 ha,"(1978, 1982)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,1987.0,3087.3076923077,I,-,0.0,· 1000 ha,"(1983, 1987)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,1992.0,3180.3846153846,I,-,0.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,1997.0,3203.0,I,-,0.0,· 1000 ha,"(1993, 1997)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,2001.0,3207.0,I,-,0.0,· 1000 ha,"(1998, 2002)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,2007.0,3208.0,I,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,2012.0,3208.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,2017.0,3208.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: total,4311.0,2018.0,3208.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: actually irrigated,4461.0,1992.0,2506.4444444444,I,-,0.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: actually irrigated,4461.0,1997.0,2122.5555555556,I,-,0.0,· 1000 ha,"(1993, 1997)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: actually irrigated,4461.0,2002.0,2140.0,-,-,6738.0,· 1000 ha,"(1998, 2002)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: actually irrigated,4461.0,2007.0,2307.0,-,-,6738.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: actually irrigated,4461.0,2012.0,2044.0,-,-,6738.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: actually irrigated,4461.0,2017.0,2165.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Area equipped for full control irrigation: actually irrigated,4461.0,2018.0,2165.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,% of area equipped for full control irrigation actually irrigated,4463.0,1992.0,78.80947582,E,-,0.0,%,"(1988, 1992)",AFG
Afghanistan,4.0,% of area equipped for full control irrigation actually irrigated,4463.0,1997.0,66.2677351094,E,-,0.0,%,"(1993, 1997)",AFG
Afghanistan,4.0,% of area equipped for full control irrigation actually irrigated,4463.0,2002.0,66.7082294264,E,-,0.0,%,"(1998, 2002)",AFG
Afghanistan,4.0,% of area equipped for full control irrigation actually irrigated,4463.0,2007.0,71.9139650873,E,-,0.0,%,"(2003, 2007)",AFG
Afghanistan,4.0,% of area equipped for full control irrigation actually irrigated,4463.0,2012.0,63.7157107232,E,-,0.0,%,"(2008, 2012)",AFG
Afghanistan,4.0,% of area equipped for full control irrigation actually irrigated,4463.0,2017.0,67.4875311721,E,-,0.0,%,"(2013, 2017)",AFG
Afghanistan,4.0,% of area equipped for full control irrigation actually irrigated,4463.0,2018.0,67.4875311721,E,-,0.0,%,"(2018, 2022)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,1967.0,2715.0,E,-,0.0,· 1000 ha,"(1963, 1967)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,1972.0,2808.0769230769,I,-,0.0,· 1000 ha,"(1968, 1972)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,1977.0,2901.1538461538,I,-,0.0,· 1000 ha,"(1973, 1977)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,1982.0,2994.2307692308,I,-,0.0,· 1000 ha,"(1978, 1982)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,1987.0,3087.3076923077,I,-,0.0,· 1000 ha,"(1983, 1987)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,1992.0,3180.3846153846,I,-,0.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,1997.0,3203.0,I,-,0.0,· 1000 ha,"(1993, 1997)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,2002.0,3208.0,E,-,0.0,· 1000 ha,"(1998, 2002)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,2007.0,3208.0,I,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,2012.0,3208.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,2017.0,3208.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Area equipped for irrigation: total,4313.0,2018.0,3208.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Area equipped for irrigation: actually irrigated,4318.0,1992.0,2506.4444444444,I,-,0.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Area equipped for irrigation: actually irrigated,4318.0,1997.0,2122.5555555556,I,-,0.0,· 1000 ha,"(1993, 1997)",AFG
