Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Albania,8.0,Total cultivated area drained,4300.0,1992.0,276.1,I,-,0.0,· 1000 ha,"(1988, 1992)",ALB
Albania,8.0,Total cultivated area drained,4300.0,1997.0,276.1,I,-,0.0,· 1000 ha,"(1993, 1997)",ALB
Albania,8.0,Total cultivated area drained,4300.0,2002.0,276.1,I,-,0.0,· 1000 ha,"(1998, 2002)",ALB
Albania,8.0,Total cultivated area drained,4300.0,2007.0,276.1,I,-,0.0,· 1000 ha,"(2003, 2007)",ALB
Albania,8.0,Total cultivated area drained,4300.0,2012.0,276.1,I,-,0.0,· 1000 ha,"(2008, 2012)",ALB
Albania,8.0,Total cultivated area drained,4300.0,2017.0,276.1,I,-,0.0,· 1000 ha,"(2013, 2017)",ALB
Albania,8.0,Total cultivated area drained,4300.0,2018.0,276.1,I,-,0.0,· 1000 ha,"(2018, 2022)",ALB
Albania,8.0,% of total cultivated area drained,4305.0,1992.0,39.2745376956,E,-,0.0,%,"(1988, 1992)",ALB
Albania,8.0,% of total cultivated area drained,4305.0,1997.0,39.4428571429,E,-,0.0,%,"(1993, 1997)",ALB
Albania,8.0,% of total cultivated area drained,4305.0,2002.0,39.4992846924,E,-,0.0,%,"(1998, 2002)",ALB
Albania,8.0,% of total cultivated area drained,4305.0,2007.0,39.5558739255,E,-,0.0,%,"(2003, 2007)",ALB
Albania,8.0,% of total cultivated area drained,4305.0,2012.0,39.6695402299,E,-,0.0,%,"(2008, 2012)",ALB
Albania,8.0,% of total cultivated area drained,4305.0,2017.0,39.9508030676,E,-,0.0,%,"(2013, 2017)",ALB
Albania,8.0,% of total cultivated area drained,4305.0,2018.0,39.6695402299,E,-,0.0,%,"(2018, 2022)",ALB
Algeria,12.0,Area equipped for irrigation drained,4303.0,2002.0,61.06,I,-,0.0,· 1000 ha,"(1998, 2002)",DZA
Algeria,12.0,Area equipped for irrigation drained,4303.0,2007.0,61.06,I,-,0.0,· 1000 ha,"(2003, 2007)",DZA
Algeria,12.0,Area equipped for irrigation drained,4303.0,2012.0,61.06,I,-,0.0,· 1000 ha,"(2008, 2012)",DZA
Algeria,12.0,Area equipped for irrigation drained,4303.0,2017.0,61.06,I,-,0.0,· 1000 ha,"(2013, 2017)",DZA
Algeria,12.0,Area equipped for irrigation drained,4303.0,2018.0,61.06,I,-,0.0,· 1000 ha,"(2018, 2022)",DZA
Algeria,12.0,Non-irrigated cultivated area drained,4304.0,2002.0,0.0,I,-,0.0,· 1000 ha,"(1998, 2002)",DZA
Algeria,12.0,Non-irrigated cultivated area drained,4304.0,2007.0,0.0,I,-,0.0,· 1000 ha,"(2003, 2007)",DZA
Algeria,12.0,Non-irrigated cultivated area drained,4304.0,2012.0,0.0,I,-,0.0,· 1000 ha,"(2008, 2012)",DZA
Algeria,12.0,Non-irrigated cultivated area drained,4304.0,2017.0,0.0,I,-,0.0,· 1000 ha,"(2013, 2017)",DZA
Algeria,12.0,Non-irrigated cultivated area drained,4304.0,2018.0,0.0,I,-,0.0,· 1000 ha,"(2018, 2022)",DZA
Algeria,12.0,Total cultivated area drained,4300.0,2002.0,61.06,I,-,0.0,· 1000 ha,"(1998, 2002)",DZA
Algeria,12.0,Total cultivated area drained,4300.0,2007.0,61.06,I,-,0.0,· 1000 ha,"(2003, 2007)",DZA
Algeria,12.0,Total cultivated area drained,4300.0,2012.0,61.06,I,-,0.0,· 1000 ha,"(2008, 2012)",DZA
Algeria,12.0,Total cultivated area drained,4300.0,2017.0,61.06,I,-,0.0,· 1000 ha,"(2013, 2017)",DZA
Algeria,12.0,Total cultivated area drained,4300.0,2018.0,61.06,I,-,0.0,· 1000 ha,"(2018, 2022)",DZA
Algeria,12.0,% of area equipped for irrigation drained,4446.0,2002.0,9.7600073071,E,-,0.0,%,"(1998, 2002)",DZA
Algeria,12.0,% of area equipped for irrigation drained,4446.0,2007.0,6.7362747338,E,-,0.0,%,"(2003, 2007)",DZA
Algeria,12.0,% of area equipped for irrigation drained,4446.0,2012.0,4.9646312708,E,-,0.0,%,"(2008, 2012)",DZA
Algeria,12.0,% of area equipped for irrigation drained,4446.0,2017.0,4.4732600733,E,-,0.0,%,"(2013, 2017)",DZA
Algeria,12.0,% of area equipped for irrigation drained,4446.0,2018.0,4.4732600733,E,-,0.0,%,"(2018, 2022)",DZA
Algeria,12.0,% of total cultivated area drained,4305.0,2002.0,0.7440896905,E,-,0.0,%,"(1998, 2002)",DZA
Algeria,12.0,% of total cultivated area drained,4305.0,2007.0,0.7277711561,E,-,0.0,%,"(2003, 2007)",DZA
