Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,1962.0,546666678.0,X,-,6686.0,current US$,"(1958, 1962)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,1967.0,1673333419.0,X,-,6686.0,current US$,"(1963, 1967)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,1972.0,1647900178.0,X,-,0.0,current US$,"(1968, 1972)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,1977.0,2864939207.0,X,-,0.0,current US$,"(1973, 1977)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,1982.0,3430645143.0,X,-,0.0,current US$,"(1978, 1982)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,1987.0,2983743471.0,X,-,0.0,current US$,"(1983, 1987)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,1992.0,3444711414.0,X,-,0.0,current US$,"(1988, 1992)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,1997.0,2924589326.0,X,-,0.0,current US$,"(1993, 1997)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,2002.0,4141523943.0,X,-,0.0,current US$,"(1998, 2002)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,2007.0,9412161765.0,X,-,0.0,current US$,"(2003, 2007)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,2012.0,19136499341.0,X,-,0.0,current US$,"(2008, 2012)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,2017.0,18623026651.0,X,-,0.0,current US$,"(2013, 2017)",AFG
Afghanistan,4.0,Gross Domestic Product (GDP),4112.0,2018.0,17986967500.0,X,-,0.0,current US$,"(2018, 2022)",AFG
Afghanistan,4.0,GDP per capita,4458.0,1972.0,136.117015,X,-,0.0,current US$/inhab,"(1968, 1972)",AFG
Afghanistan,4.0,GDP per capita,4458.0,1977.0,226.005343,X,-,0.0,current US$/inhab,"(1973, 1977)",AFG
Afghanistan,4.0,GDP per capita,4458.0,1982.0,269.723949,X,-,0.0,current US$/inhab,"(1978, 1982)",AFG
Afghanistan,4.0,GDP per capita,4458.0,1987.0,251.026688,X,-,0.0,current US$/inhab,"(1983, 1987)",AFG
Afghanistan,4.0,GDP per capita,4458.0,1992.0,248.51889,X,-,0.0,current US$/inhab,"(1988, 1992)",AFG
Afghanistan,4.0,GDP per capita,4458.0,1997.0,164.092893,X,-,0.0,current US$/inhab,"(1993, 1997)",AFG
Afghanistan,4.0,GDP per capita,4458.0,2002.0,194.958382,X,-,0.0,current US$/inhab,"(1998, 2002)",AFG
Afghanistan,4.0,GDP per capita,4458.0,2007.0,389.985586,X,-,0.0,current US$/inhab,"(2003, 2007)",AFG
Afghanistan,4.0,GDP per capita,4458.0,2012.0,694.885618,X,-,0.0,current US$/inhab,"(2008, 2012)",AFG
Afghanistan,4.0,GDP per capita,4458.0,2017.0,605.557362,X,-,0.0,current US$/inhab,"(2013, 2017)",AFG
Afghanistan,4.0,GDP per capita,4458.0,2018.0,563.983834,X,-,0.0,current US$/inhab,"(2018, 2022)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,1972.0,50.242445,X,-,0.0,%,"(1968, 1972)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,1977.0,50.251923,X,-,0.0,%,"(1973, 1977)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,1982.0,50.326386,X,-,0.0,%,"(1978, 1982)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,1987.0,48.000827,X,-,0.0,%,"(1983, 1987)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,1992.0,54.207106,X,-,0.0,%,"(1988, 1992)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,1997.0,62.416768,X,-,0.0,%,"(1993, 1997)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,2002.0,45.134344,X,-,0.0,%,"(1998, 2002)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,2007.0,35.265942,X,-,0.0,%,"(2003, 2007)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,2012.0,28.556142,X,-,0.0,%,"(2008, 2012)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,2017.0,25.57467,X,-,0.0,%,"(2013, 2017)",AFG
Afghanistan,4.0,"Agriculture, value added (% GDP)",4113.0,2018.0,22.440899,X,-,0.0,%,"(2018, 2022)",AFG
Afghanistan,4.0,"Agriculture, value added to GDP",4548.0,1972.0,801641220.4,X,-,7015.0,current US$,"(1968, 1972)",AFG
Afghanistan,4.0,"Agriculture, value added to GDP",4548.0,1977.0,1484165633.0,X,-,7015.0,current US$,"(1973, 1977)",AFG
Afghanistan,4.0,"Agriculture, value added to GDP",4548.0,1982.0,1732784851.0,X,-,7015.0,current US$,"(1978, 1982)",AFG
Afghanistan,4.0,"Agriculture, value added to GDP",4548.0,1987.0,1364599992.0,X,-,7015.0,current US$,"(1983, 1987)",AFG
