Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Flood occurrence (WRI),4543.0,2017.0,3.7,I,-,0.0,-,"(2013, 2017)",AFG
Afghanistan,4.0,Flood occurrence (WRI),4543.0,2018.0,3.7,I,-,0.0,-,"(2018, 2022)",AFG
Albania,8.0,Area salinized by irrigation,4400.0,1992.0,12.0,-,-,4779.0,· 1000 ha,"(1988, 1992)",ALB
Albania,8.0,Area salinized by irrigation,4400.0,1997.0,9.6,I,-,0.0,· 1000 ha,"(1993, 1997)",ALB
Albania,8.0,Area salinized by irrigation,4400.0,2002.0,7.2,I,-,0.0,· 1000 ha,"(1998, 2002)",ALB
Albania,8.0,Area salinized by irrigation,4400.0,2007.0,4.8,I,-,0.0,· 1000 ha,"(2003, 2007)",ALB
Albania,8.0,Area salinized by irrigation,4400.0,2012.0,2.4,I,-,0.0,· 1000 ha,"(2008, 2012)",ALB
Albania,8.0,Area salinized by irrigation,4400.0,2017.0,0.0,-,-,7017.0,· 1000 ha,"(2013, 2017)",ALB
Albania,8.0,Area salinized by irrigation,4400.0,2018.0,0.0,-,-,7017.0,· 1000 ha,"(2018, 2022)",ALB
Albania,8.0,% of area equipped for irrigation salinized,4445.0,1992.0,3.0224720799,E,-,0.0,%,"(1988, 1992)",ALB
Albania,8.0,% of area equipped for irrigation salinized,4445.0,1997.0,2.4179776639,E,-,0.0,%,"(1993, 1997)",ALB
Albania,8.0,% of area equipped for irrigation salinized,4445.0,2002.0,2.0809248555,E,-,0.0,%,"(1998, 2002)",ALB
Albania,8.0,% of area equipped for irrigation salinized,4445.0,2007.0,1.208988832,E,-,0.0,%,"(2003, 2007)",ALB
Albania,8.0,% of area equipped for irrigation salinized,4445.0,2012.0,0.6936416185,E,-,0.0,%,"(2008, 2012)",ALB
Albania,8.0,% of area equipped for irrigation salinized,4445.0,2017.0,0.0,E,-,0.0,%,"(2013, 2017)",ALB
Albania,8.0,% of area equipped for irrigation salinized,4445.0,2018.0,0.0,E,-,0.0,%,"(2018, 2022)",ALB
Albania,8.0,Flood occurrence (WRI),4543.0,2017.0,2.7,I,-,0.0,-,"(2013, 2017)",ALB
Albania,8.0,Flood occurrence (WRI),4543.0,2018.0,2.7,I,-,0.0,-,"(2018, 2022)",ALB
Algeria,12.0,Flood occurrence (WRI),4543.0,2017.0,2.8,I,-,0.0,-,"(2013, 2017)",DZA
Algeria,12.0,Flood occurrence (WRI),4543.0,2018.0,2.8,I,-,0.0,-,"(2018, 2022)",DZA
Andorra,20.0,Flood occurrence (WRI),4543.0,2017.0,3.3,I,-,0.0,-,"(2013, 2017)",AND
Andorra,20.0,Flood occurrence (WRI),4543.0,2018.0,3.3,I,-,0.0,-,"(2018, 2022)",AND
Angola,24.0,Flood occurrence (WRI),4543.0,2017.0,1.7,I,-,0.0,-,"(2013, 2017)",AGO
Angola,24.0,Flood occurrence (WRI),4543.0,2018.0,1.7,I,-,0.0,-,"(2018, 2022)",AGO
Antigua and Barbuda,28.0,Flood occurrence (WRI),4543.0,2017.0,3.6,I,-,0.0,-,"(2013, 2017)",ATG
Antigua and Barbuda,28.0,Flood occurrence (WRI),4543.0,2018.0,3.6,I,-,0.0,-,"(2018, 2022)",ATG
Argentina,32.0,Area salinized by irrigation,4400.0,1997.0,584.0,-,-,0.0,· 1000 ha,"(1993, 1997)",ARG
Argentina,32.0,Area salinized by irrigation,4400.0,2002.0,584.0,I,-,0.0,· 1000 ha,"(1998, 2002)",ARG
Argentina,32.0,Area salinized by irrigation,4400.0,2007.0,584.0,I,-,0.0,· 1000 ha,"(2003, 2007)",ARG
Argentina,32.0,Area salinized by irrigation,4400.0,2012.0,584.0,I,-,0.0,· 1000 ha,"(2008, 2012)",ARG
Argentina,32.0,Area salinized by irrigation,4400.0,2017.0,584.0,I,-,0.0,· 1000 ha,"(2013, 2017)",ARG
Argentina,32.0,Area salinized by irrigation,4400.0,2018.0,584.0,I,-,0.0,· 1000 ha,"(2018, 2022)",ARG
Argentina,32.0,% of area equipped for irrigation salinized,4445.0,1997.0,32.2176452292,E,-,0.0,%,"(1993, 1997)",ARG
Argentina,32.0,% of area equipped for irrigation salinized,4445.0,2002.0,27.3119154128,E,-,0.0,%,"(1998, 2002)",ARG
Argentina,32.0,% of area equipped for irrigation salinized,4445.0,2007.0,25.8431938432,E,-,0.0,%,"(2003, 2007)",ARG
Argentina,32.0,% of area equipped for irrigation salinized,4445.0,2012.0,24.7772592278,E,-,0.0,%,"(2008, 2012)",ARG
Argentina,32.0,% of area equipped for irrigation salinized,4445.0,2017.0,24.7772592278,E,-,0.0,%,"(2013, 2017)",ARG
Argentina,32.0,% of area equipped for irrigation salinized,4445.0,2018.0,24.7772592278,E,-,0.0,%,"(2018, 2022)",ARG
Argentina,32.0,Flood occurrence (WRI),4543.0,2017.0,2.5,I,-,0.0,-,"(2013, 2017)",ARG
Argentina,32.0,Flood occurrence (WRI),4543.0,2018.0,2.5,I,-,0.0,-,"(2018, 2022)",ARG
Armenia,51.0,Area salinized by irrigation,4400.0,1997.0,31.2836363636,I,-,0.0,· 1000 ha,"(1993, 1997)",ARM
Armenia,51.0,Area salinized by irrigation,4400.0,2002.0,25.2427272727,I,-,0.0,· 1000 ha,"(1998, 2002)",ARM
Armenia,51.0,Area salinized by irrigation,4400.0,2007.0,20.41,I,-,0.0,· 1000 ha,"(2003, 2007)",ARM
Armenia,51.0,Area salinized by irrigation,4400.0,2012.0,20.41,I,-,0.0,· 1000 ha,"(2008, 2012)",ARM
Armenia,51.0,Area salinized by irrigation,4400.0,2017.0,20.41,I,-,0.0,· 1000 ha,"(2013, 2017)",ARM
Armenia,51.0,Area salinized by irrigation,4400.0,2018.0,20.41,I,-,0.0,· 1000 ha,"(2018, 2022)",ARM
Armenia,51.0,% of area equipped for irrigation salinized,4445.0,1997.0,10.9960057517,E,-,0.0,%,"(1993, 1997)",ARM
Armenia,51.0,% of area equipped for irrigation salinized,4445.0,2002.0,9.2295163703,E,-,0.0,%,"(1998, 2002)",ARM
Armenia,51.0,% of area equipped for irrigation salinized,4445.0,2007.0,7.9733483809,E,-,0.0,%,"(2003, 2007)",ARM
Armenia,51.0,% of area equipped for irrigation salinized,4445.0,2012.0,12.1223520095,E,-,0.0,%,"(2008, 2012)",ARM
Armenia,51.0,% of area equipped for irrigation salinized,4445.0,2017.0,20.9333333333,E,-,0.0,%,"(2013, 2017)",ARM
Armenia,51.0,% of area equipped for irrigation salinized,4445.0,2018.0,13.1762427372,E,-,0.0,%,"(2018, 2022)",ARM
Armenia,51.0,Area waterlogged by irrigation,4401.0,1992.0,20.58,-,-,0.0,· 1000 hectares,"(1988, 1992)",ARM
Armenia,51.0,Area waterlogged by irrigation,4401.0,1997.0,29.82,-,-,0.0,· 1000 hectares,"(1993, 1997)",ARM
Armenia,51.0,Area waterlogged by irrigation,4401.0,2002.0,17.96,-,-,0.0,· 1000 hectares,"(1998, 2002)",ARM
Armenia,51.0,Area waterlogged by irrigation,4401.0,2007.0,18.72,I,-,0.0,· 1000 hectares,"(2003, 2007)",ARM
Armenia,51.0,Area waterlogged by irrigation,4401.0,2012.0,18.72,I,-,0.0,· 1000 hectares,"(2008, 2012)",ARM
Armenia,51.0,Area waterlogged by irrigation,4401.0,2017.0,18.72,I,-,0.0,· 1000 hectares,"(2013, 2017)",ARM
Armenia,51.0,Area waterlogged by irrigation,4401.0,2018.0,18.72,I,-,0.0,· 1000 hectares,"(2018, 2022)",ARM
Armenia,51.0,Flood occurrence (WRI),4543.0,2017.0,3.3,I,-,0.0,-,"(2013, 2017)",ARM
