Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Argentina,32.0,Population affected by water related disease,4403.0,2012.0,5607.0,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",ARG
Argentina,32.0,Population affected by water related disease,4403.0,2017.0,5607.0,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",ARG
Argentina,32.0,Population affected by water related disease,4403.0,2018.0,5607.0,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",ARG
Armenia,51.0,Population affected by water related disease,4403.0,2002.0,1.644,I,-,0.0,· 1000 inhabitants,"(1998, 2002)",ARM
Armenia,51.0,Population affected by water related disease,4403.0,2007.0,1.644,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",ARM
Armenia,51.0,Population affected by water related disease,4403.0,2012.0,1.644,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",ARM
Armenia,51.0,Population affected by water related disease,4403.0,2017.0,1.644,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",ARM
Armenia,51.0,Population affected by water related disease,4403.0,2018.0,1.644,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",ARM
Burkina Faso,854.0,Population affected by water related disease,4403.0,2002.0,1206.7,I,-,0.0,· 1000 inhabitants,"(1998, 2002)",BFA
Burkina Faso,854.0,Population affected by water related disease,4403.0,2007.0,3965.2,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",BFA
Burkina Faso,854.0,Population affected by water related disease,4403.0,2012.0,6172.0,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",BFA
Burkina Faso,854.0,Population affected by water related disease,4403.0,2017.0,6172.0,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",BFA
Burkina Faso,854.0,Population affected by water related disease,4403.0,2018.0,6172.0,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",BFA
Cambodia,116.0,Population affected by water related disease,4403.0,1997.0,507.0,I,-,0.0,· 1000 inhabitants,"(1993, 1997)",KHM
Cambodia,116.0,Population affected by water related disease,4403.0,2002.0,507.0,I,-,0.0,· 1000 inhabitants,"(1998, 2002)",KHM
Cambodia,116.0,Population affected by water related disease,4403.0,2007.0,507.0,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",KHM
Cambodia,116.0,Population affected by water related disease,4403.0,2012.0,507.0,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",KHM
Cambodia,116.0,Population affected by water related disease,4403.0,2017.0,507.0,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",KHM
Cambodia,116.0,Population affected by water related disease,4403.0,2018.0,507.0,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",KHM
Colombia,170.0,Population affected by water related disease,4403.0,1997.0,42.2338,I,-,0.0,· 1000 inhabitants,"(1993, 1997)",COL
Colombia,170.0,Population affected by water related disease,4403.0,2002.0,27.5901333333,I,-,0.0,· 1000 inhabitants,"(1998, 2002)",COL
Colombia,170.0,Population affected by water related disease,4403.0,2007.0,12.9464666667,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",COL
Colombia,170.0,Population affected by water related disease,4403.0,2012.0,7.089,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",COL
Colombia,170.0,Population affected by water related disease,4403.0,2017.0,7.089,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",COL
Colombia,170.0,Population affected by water related disease,4403.0,2018.0,7.089,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",COL
Congo,178.0,Population affected by water related disease,4403.0,2002.0,175.2,-,-,0.0,· 1000 inhabitants,"(1998, 2002)",COG
Congo,178.0,Population affected by water related disease,4403.0,2007.0,175.2,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",COG
Congo,178.0,Population affected by water related disease,4403.0,2012.0,175.2,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",COG
Congo,178.0,Population affected by water related disease,4403.0,2017.0,175.2,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",COG
Congo,178.0,Population affected by water related disease,4403.0,2018.0,175.2,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",COG
Costa Rica,188.0,Population affected by water related disease,4403.0,2012.0,315.9,-,-,6392.0,· 1000 inhabitants,"(2008, 2012)",CRI
Costa Rica,188.0,Population affected by water related disease,4403.0,2017.0,315.9,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",CRI
Costa Rica,188.0,Population affected by water related disease,4403.0,2018.0,315.9,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",CRI
Côte d'Ivoire,384.0,Population affected by water related disease,4403.0,1997.0,1423.0,-,-,0.0,· 1000 inhabitants,"(1993, 1997)",CIV
Côte d'Ivoire,384.0,Population affected by water related disease,4403.0,2002.0,1423.0,I,-,0.0,· 1000 inhabitants,"(1998, 2002)",CIV
Côte d'Ivoire,384.0,Population affected by water related disease,4403.0,2007.0,1423.0,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",CIV
Côte d'Ivoire,384.0,Population affected by water related disease,4403.0,2012.0,1423.0,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",CIV
Côte d'Ivoire,384.0,Population affected by water related disease,4403.0,2017.0,1423.0,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",CIV
Côte d'Ivoire,384.0,Population affected by water related disease,4403.0,2018.0,1423.0,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",CIV
Cuba,192.0,Population affected by water related disease,4403.0,1997.0,1033.0,-,-,0.0,· 1000 inhabitants,"(1993, 1997)",CUB
Cuba,192.0,Population affected by water related disease,4403.0,2002.0,1033.0,I,-,0.0,· 1000 inhabitants,"(1998, 2002)",CUB
Cuba,192.0,Population affected by water related disease,4403.0,2007.0,1033.0,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",CUB
Cuba,192.0,Population affected by water related disease,4403.0,2012.0,1033.0,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",CUB
Cuba,192.0,Population affected by water related disease,4403.0,2017.0,1033.0,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",CUB
Cuba,192.0,Population affected by water related disease,4403.0,2018.0,1033.0,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",CUB
Ecuador,218.0,Population affected by water related disease,4403.0,2002.0,8.57,I,-,0.0,· 1000 inhabitants,"(1998, 2002)",ECU
Ecuador,218.0,Population affected by water related disease,4403.0,2007.0,8.57,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",ECU
Ecuador,218.0,Population affected by water related disease,4403.0,2012.0,8.57,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",ECU
Ecuador,218.0,Population affected by water related disease,4403.0,2017.0,8.57,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",ECU
Ecuador,218.0,Population affected by water related disease,4403.0,2018.0,8.57,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",ECU
El Salvador,222.0,Population affected by water related disease,4403.0,1997.0,12.0,I,-,0.0,· 1000 inhabitants,"(1993, 1997)",SLV
El Salvador,222.0,Population affected by water related disease,4403.0,2002.0,12.0,I,-,0.0,· 1000 inhabitants,"(1998, 2002)",SLV
El Salvador,222.0,Population affected by water related disease,4403.0,2007.0,12.0,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",SLV
El Salvador,222.0,Population affected by water related disease,4403.0,2012.0,12.0,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",SLV
El Salvador,222.0,Population affected by water related disease,4403.0,2017.0,12.0,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",SLV
El Salvador,222.0,Population affected by water related disease,4403.0,2018.0,12.0,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",SLV
Eswatini,748.0,Population affected by water related disease,4403.0,2002.0,2.926,I,-,0.0,· 1000 inhabitants,"(1998, 2002)",SWZ
Eswatini,748.0,Population affected by water related disease,4403.0,2007.0,2.926,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",SWZ
Eswatini,748.0,Population affected by water related disease,4403.0,2012.0,2.926,I,-,0.0,· 1000 inhabitants,"(2008, 2012)",SWZ
Eswatini,748.0,Population affected by water related disease,4403.0,2017.0,2.926,I,-,0.0,· 1000 inhabitants,"(2013, 2017)",SWZ
Eswatini,748.0,Population affected by water related disease,4403.0,2018.0,2.926,I,-,0.0,· 1000 inhabitants,"(2018, 2022)",SWZ
Guatemala,320.0,Population affected by water related disease,4403.0,1997.0,1880.0,I,-,0.0,· 1000 inhabitants,"(1993, 1997)",GTM
Guatemala,320.0,Population affected by water related disease,4403.0,2002.0,1880.0,I,-,0.0,· 1000 inhabitants,"(1998, 2002)",GTM
Guatemala,320.0,Population affected by water related disease,4403.0,2007.0,1880.0,I,-,0.0,· 1000 inhabitants,"(2003, 2007)",GTM
