Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Surface water produced internally,4155.0,1962.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(1958, 1962)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,1967.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(1963, 1967)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,1972.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(1968, 1972)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,1977.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(1973, 1977)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,1982.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(1978, 1982)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,1987.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(1983, 1987)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,1992.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(1988, 1992)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,1997.0,37.5,E," [P-Observations-N] | Kabul (Indus) 11.5; Helmand 9.3; Hari Rod-Murghab 3.1; Northern 1.9; Amu Darya (Panj) 11.7.""",6046.0,· 10⁹ m³/yr,"(1993, 1997)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,2002.0,37.5,E," [P-Observations-N] | Kabul (Indus) 11.5; Helmand 9.3; Hari Rod-Murghab 3.1; Northern 1.9; Amu Darya (Panj) 11.7.""",6046.0,· 10⁹ m³/yr,"(1998, 2002)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,2007.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(2003, 2007)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,2012.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(2008, 2012)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,2017.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(2013, 2017)",AFG
Afghanistan,4.0,Surface water produced internally,4155.0,2018.0,37.5,E,-,7014.0,· 10⁹ m³/yr,"(2018, 2022)",AFG
Afghanistan,4.0,Groundwater produced internally,4154.0,1962.0,10.65,-,-,6044.0,· 10⁹ m³/yr,"(1958, 1962)",AFG
Afghanistan,4.0,Groundwater produced internally,4154.0,1967.0,10.65,-," [P-Observations-N] | Kabul (Indus) 1.92; Helmand and Western 2.98; Northern and Murghab 2.14; Hari-Rod 0.64; Amu Darya (Panj) 2.97.""",6044.0,· 10⁹ m³/yr,"(1963, 1967)",AFG
