Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Harvested irrigated temporary crop area: Wheat,4345.0,1982.0,1246.0,I,-,0.0,· 1000 ha,"(1978, 1982)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Wheat,4345.0,1987.0,1111.0,I,-,0.0,· 1000 ha,"(1983, 1987)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Wheat,4345.0,1992.0,1025.7894736842,I,-,0.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Wheat,4345.0,1997.0,1015.2631578947,I,-,0.0,· 1000 ha,"(1993, 1997)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Wheat,4345.0,2002.0,1004.7368421053,I,-,0.0,· 1000 ha,"(1998, 2002)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Wheat,4345.0,2007.0,994.2105263158,I,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Wheat,4345.0,2012.0,1156.0,-,-,6738.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Wheat,4345.0,2017.0,1301.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Wheat,4345.0,2018.0,1301.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Rice,4346.0,2012.0,208.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Rice,4346.0,2017.0,208.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Rice,4346.0,2018.0,208.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Barley,4347.0,2012.0,116.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Barley,4347.0,2017.0,116.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Barley,4347.0,2018.0,116.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Maize,4348.0,2012.0,183.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Maize,4348.0,2017.0,183.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Maize,4348.0,2018.0,183.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Vegetables,4360.0,2012.0,69.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Vegetables,4360.0,2017.0,69.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Vegetables,4360.0,2018.0,69.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Sesame,4374.0,2007.0,10.0,I,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Sesame,4374.0,2012.0,10.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Sesame,4374.0,2017.0,10.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Sesame,4374.0,2018.0,10.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Sunflower,4373.0,2007.0,10.0,I,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Sunflower,4373.0,2012.0,10.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Sunflower,4373.0,2017.0,10.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Sunflower,4373.0,2018.0,10.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Potatoes,4352.0,2007.0,15.0,I,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Potatoes,4352.0,2012.0,15.0,I,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Potatoes,4352.0,2017.0,15.0,I,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Potatoes,4352.0,2018.0,15.0,I,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Harvested irrigated temporary crop area: Leguminous crops,4359.0,2007.0,27.0,I,-,0.0,· 1000 ha,"(2003, 2007)",AFG
