Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,1962.0,2.119,E,-,6750.0,-,"(1958, 1962)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,1967.0,2.119,E,-,6750.0,-,"(1963, 1967)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,1972.0,2.119,E,-,6750.0,-,"(1968, 1972)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,1977.0,2.119,E,-,6750.0,-,"(1973, 1977)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,1982.0,2.119,E,-,6750.0,-,"(1978, 1982)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,1987.0,2.119,E,-,6750.0,-,"(1983, 1987)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,1992.0,2.119,E,-,6750.0,-,"(1988, 1992)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,1997.0,2.119,E,-,6750.0,-,"(1993, 1997)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,2002.0,2.119,E,-,6750.0,-,"(1998, 2002)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,2007.0,2.119,I,-,0.0,-,"(2003, 2007)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,2012.0,2.119,E,-,6750.0,-,"(2008, 2012)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,2017.0,2.119,I,-,0.0,-,"(2013, 2017)",AFG
Afghanistan,4.0,Ratio between rainfed and irrigated yields,4557.0,2018.0,2.119,I,-,0.0,-,"(2018, 2022)",AFG
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,1962.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1958, 1962)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,1967.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1963, 1967)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,1972.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1968, 1972)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,1977.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1973, 1977)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,1982.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1978, 1982)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,1987.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1983, 1987)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,1992.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1988, 1992)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,1997.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1993, 1997)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,2002.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1998, 2002)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,2007.0,1.778,I,-,0.0,-,"(2003, 2007)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,2012.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(2008, 2012)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,2017.0,1.778,I,-,0.0,-,"(2013, 2017)",ALB
Albania,8.0,Ratio between rainfed and irrigated yields,4557.0,2018.0,1.778,I,-,0.0,-,"(2018, 2022)",ALB
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,1962.0,2.207368807,E,-,6925.0,-,"(1958, 1962)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,1967.0,2.207368807,E,-,6925.0,-,"(1963, 1967)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,1972.0,2.207368807,E,-,6925.0,-,"(1968, 1972)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,1977.0,2.207368807,E,-,6925.0,-,"(1973, 1977)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,1982.0,2.207368807,E,-,6925.0,-,"(1978, 1982)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,1987.0,2.207368807,E,-,6925.0,-,"(1983, 1987)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,1992.0,2.207368807,E,-,6925.0,-,"(1988, 1992)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,1997.0,2.207368807,E,-,6925.0,-,"(1993, 1997)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,2002.0,2.207368807,E,-,6925.0,-,"(1998, 2002)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,2007.0,2.207368807,E,-,6925.0,-,"(2003, 2007)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,2012.0,2.207368807,E,-,6925.0,-,"(2008, 2012)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,2017.0,2.207368807,E,-,6925.0,-,"(2013, 2017)",DZA
Algeria,12.0,Ratio between rainfed and irrigated yields,4557.0,2018.0,2.207368807,I,-,0.0,-,"(2018, 2022)",DZA
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,1962.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1958, 1962)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,1967.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1963, 1967)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,1972.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1968, 1972)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,1977.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1973, 1977)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,1982.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1978, 1982)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,1987.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1983, 1987)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,1992.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1988, 1992)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,1997.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1993, 1997)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,2002.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1998, 2002)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,2007.0,1.778,I,-,0.0,-,"(2003, 2007)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,2012.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(2008, 2012)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,2017.0,1.778,I,-,0.0,-,"(2013, 2017)",AND
Andorra,20.0,Ratio between rainfed and irrigated yields,4557.0,2018.0,1.778,I,-,0.0,-,"(2018, 2022)",AND
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,1962.0,1.456,E,-,6750.0,-,"(1958, 1962)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,1967.0,1.456,E,-,6750.0,-,"(1963, 1967)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,1972.0,1.456,E,-,6750.0,-,"(1968, 1972)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,1977.0,1.456,E,-,6750.0,-,"(1973, 1977)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,1982.0,1.456,E,-,6750.0,-,"(1978, 1982)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,1987.0,1.456,E,-,6750.0,-,"(1983, 1987)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,1992.0,1.456,E,-,6750.0,-,"(1988, 1992)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,1997.0,1.456,E,-,6750.0,-,"(1993, 1997)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,2002.0,1.456,E,-,6750.0,-,"(1998, 2002)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,2007.0,1.456,I,-,0.0,-,"(2003, 2007)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,2012.0,1.456,E,-,6750.0,-,"(2008, 2012)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,2017.0,1.456,I,-,0.0,-,"(2013, 2017)",AGO
Angola,24.0,Ratio between rainfed and irrigated yields,4557.0,2018.0,1.456,I,-,0.0,-,"(2018, 2022)",AGO
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,1962.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1958, 1962)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,1967.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1963, 1967)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,1972.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1968, 1972)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,1977.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1973, 1977)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,1982.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1978, 1982)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,1987.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1983, 1987)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,1992.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1988, 1992)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,1997.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1993, 1997)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,2002.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1998, 2002)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,2007.0,1.778,I,-,0.0,-,"(2003, 2007)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,2012.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(2008, 2012)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,2017.0,1.778,I,-,0.0,-,"(2013, 2017)",ATG
Antigua and Barbuda,28.0,Ratio between rainfed and irrigated yields,4557.0,2018.0,1.778,I,-,0.0,-,"(2018, 2022)",ATG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,1962.0,1.69,E,-,6750.0,-,"(1958, 1962)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,1967.0,1.69,E,-,6750.0,-,"(1963, 1967)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,1972.0,1.69,E,-,6750.0,-,"(1968, 1972)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,1977.0,1.69,E,-,6750.0,-,"(1973, 1977)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,1982.0,1.69,E,-,6750.0,-,"(1978, 1982)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,1987.0,1.69,E,-,6750.0,-,"(1983, 1987)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,1992.0,1.69,E,-,6750.0,-,"(1988, 1992)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,1997.0,1.69,E,-,6750.0,-,"(1993, 1997)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,2002.0,1.69,E,-,6750.0,-,"(1998, 2002)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,2007.0,1.69,I,-,0.0,-,"(2003, 2007)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,2012.0,1.69,E,-,6750.0,-,"(2008, 2012)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,2017.0,1.69,I,-,0.0,-,"(2013, 2017)",ARG
Argentina,32.0,Ratio between rainfed and irrigated yields,4557.0,2018.0,1.69,I,-,0.0,-,"(2018, 2022)",ARG
Armenia,51.0,Ratio between rainfed and irrigated yields,4557.0,1992.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1988, 1992)",ARM
Armenia,51.0,Ratio between rainfed and irrigated yields,4557.0,1997.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1993, 1997)",ARM
Armenia,51.0,Ratio between rainfed and irrigated yields,4557.0,2002.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(1998, 2002)",ARM
Armenia,51.0,Ratio between rainfed and irrigated yields,4557.0,2007.0,1.778,I,-,0.0,-,"(2003, 2007)",ARM
Armenia,51.0,Ratio between rainfed and irrigated yields,4557.0,2012.0,1.778,E," [P-Observations-N] | Average ratio between irrigated and rainfed irrigated based on yield estimations from Agriculture Toward 2080 (FAO unpublished)""",6750.0,-,"(2008, 2012)",ARM
Armenia,51.0,Ratio between rainfed and irrigated yields,4557.0,2017.0,1.778,I,-,0.0,-,"(2013, 2017)",ARM
Armenia,51.0,Ratio between rainfed and irrigated yields,4557.0,2018.0,1.778,I,-,0.0,-,"(2018, 2022)",ARM
Australia,36.0,Ratio between rainfed and irrigated yields,4557.0,1962.0,2.171,E,-,6750.0,-,"(1958, 1962)",AUS
Australia,36.0,Ratio between rainfed and irrigated yields,4557.0,1967.0,2.171,E,-,6750.0,-,"(1963, 1967)",AUS
Australia,36.0,Ratio between rainfed and irrigated yields,4557.0,1972.0,2.171,E,-,6750.0,-,"(1968, 1972)",AUS
Australia,36.0,Ratio between rainfed and irrigated yields,4557.0,1977.0,2.171,E,-,6750.0,-,"(1973, 1977)",AUS
