Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,1962.0,65286.0,X,-,6768.0,· 1000 ha,"(1958, 1962)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,1967.0,65286.0,X,-,6768.0,· 1000 ha,"(1963, 1967)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,1972.0,65286.0,X,-,6768.0,· 1000 ha,"(1968, 1972)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,1977.0,65286.0,X,-,6768.0,· 1000 ha,"(1973, 1977)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,1982.0,65286.0,X,-,6768.0,· 1000 ha,"(1978, 1982)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,1987.0,65286.0,X,-,6768.0,· 1000 ha,"(1983, 1987)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,1992.0,65286.0,X,-,6768.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,1997.0,65286.0,X,-,6768.0,· 1000 ha,"(1993, 1997)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,2002.0,65286.0,X,-,6768.0,· 1000 ha,"(1998, 2002)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,2007.0,65286.0,X,-,6768.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,2012.0,65286.0,X,-,6768.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,2017.0,65286.0,E,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Total area of the country (excl. coastal water),4100.0,2018.0,65286.0,E,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Arable land area,4101.0,1962.0,7700.0,X,-,0.0,· 1000 ha,"(1958, 1962)",AFG
Afghanistan,4.0,Arable land area,4101.0,1967.0,7844.0,X,-,0.0,· 1000 ha,"(1963, 1967)",AFG
Afghanistan,4.0,Arable land area,4101.0,1972.0,7910.0,X,-,0.0,· 1000 ha,"(1968, 1972)",AFG
Afghanistan,4.0,Arable land area,4101.0,1977.0,7910.0,X,-,0.0,· 1000 ha,"(1973, 1977)",AFG
Afghanistan,4.0,Arable land area,4101.0,1982.0,7910.0,X,-,0.0,· 1000 ha,"(1978, 1982)",AFG
Afghanistan,4.0,Arable land area,4101.0,1987.0,7910.0,X,-,0.0,· 1000 ha,"(1983, 1987)",AFG
Afghanistan,4.0,Arable land area,4101.0,1992.0,7910.0,X,-,0.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Arable land area,4101.0,1997.0,7685.0,X,-,0.0,· 1000 ha,"(1993, 1997)",AFG
Afghanistan,4.0,Arable land area,4101.0,2002.0,7678.0,X,-,0.0,· 1000 ha,"(1998, 2002)",AFG
Afghanistan,4.0,Arable land area,4101.0,2007.0,7794.0,X,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Arable land area,4101.0,2012.0,7790.0,X,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Arable land area,4101.0,2017.0,7699.0,X,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Arable land area,4101.0,2018.0,7794.0,X,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,1962.0,60.0,X,-,0.0,· 1000 ha,"(1958, 1962)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,1967.0,135.0,X,-,0.0,· 1000 ha,"(1963, 1967)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,1972.0,136.0,X,-,0.0,· 1000 ha,"(1968, 1972)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,1977.0,140.0,X,-,0.0,· 1000 ha,"(1973, 1977)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,1982.0,144.0,X,-,0.0,· 1000 ha,"(1978, 1982)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,1987.0,135.0,X,-,0.0,· 1000 ha,"(1983, 1987)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,1992.0,120.0,X,-,0.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,1997.0,105.0,X,-,0.0,· 1000 ha,"(1993, 1997)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,2002.0,75.0,X,-,0.0,· 1000 ha,"(1998, 2002)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,2007.0,116.0,X,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,2012.0,120.0,X,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,2017.0,211.0,X,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Permanent crops area,4102.0,2018.0,216.0,X,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,1962.0,7760.0,X,-,0.0,· 1000 ha,"(1958, 1962)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,1967.0,7979.0,X,-,0.0,· 1000 ha,"(1963, 1967)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,1972.0,8046.0,X,-,0.0,· 1000 ha,"(1968, 1972)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,1977.0,8050.0,X,-,0.0,· 1000 ha,"(1973, 1977)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,1982.0,8054.0,X,-,0.0,· 1000 ha,"(1978, 1982)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,1987.0,8045.0,X,-,0.0,· 1000 ha,"(1983, 1987)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,1992.0,8030.0,X,-,0.0,· 1000 ha,"(1988, 1992)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,1997.0,7790.0,X,-,0.0,· 1000 ha,"(1993, 1997)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,2002.0,7753.0,X,-,0.0,· 1000 ha,"(1998, 2002)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,2007.0,7910.0,X,-,0.0,· 1000 ha,"(2003, 2007)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,2012.0,7910.0,X,-,0.0,· 1000 ha,"(2008, 2012)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,2017.0,7910.0,X,-,0.0,· 1000 ha,"(2013, 2017)",AFG
Afghanistan,4.0,Cultivated area (arable land + permanent crops),4103.0,2018.0,8010.0,X,-,0.0,· 1000 ha,"(2018, 2022)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,1962.0,11.8861624238,E,-,0.0,%,"(1958, 1962)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,1967.0,12.2216095334,E,-,0.0,%,"(1963, 1967)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,1972.0,12.3242349049,E,-,0.0,%,"(1968, 1972)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,1977.0,12.3303617927,E,-,0.0,%,"(1973, 1977)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,1982.0,12.3364886806,E,-,0.0,%,"(1978, 1982)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,1987.0,12.3227031829,E,-,0.0,%,"(1983, 1987)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,1992.0,12.2997273535,E,-,0.0,%,"(1988, 1992)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,1997.0,11.9321140827,E,-,0.0,%,"(1993, 1997)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,2002.0,11.8754403701,E,-,0.0,%,"(1998, 2002)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,2007.0,12.1159207181,E,-,0.0,%,"(2003, 2007)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,2012.0,12.1159207181,E,-,0.0,%,"(2008, 2012)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,2017.0,12.1159207181,E,-,0.0,%,"(2013, 2017)",AFG
Afghanistan,4.0,% of total country area cultivated,4470.0,2018.0,12.2690929143,E,-,0.0,%,"(2018, 2022)",AFG
Afghanistan,4.0,% of cultivated land irrigated [harvested crop],4556.0,1992.0,31.2135049121,E,-,0.0,%,"(1988, 1992)",AFG
Afghanistan,4.0,% of cultivated land irrigated [harvested crop],4556.0,1997.0,27.2471829981,E,-,0.0,%,"(1993, 1997)",AFG
Afghanistan,4.0,% of cultivated land irrigated [harvested crop],4556.0,2002.0,27.6,E," [P-Observations-N] | Without Total Harvested Irrigated Area, the calculations have been made using the Total Area Equipped for Irrigation Actually Irrigated""",6749.0,%,"(1998, 2002)",AFG
Afghanistan,4.0,% of cultivated land irrigated [harvested crop],4556.0,2007.0,29.1656131479,E,-,0.0,%,"(2003, 2007)",AFG
Afghanistan,4.0,% of cultivated land irrigated [harvested crop],4556.0,2012.0,25.8407079646,E,-,0.0,%,"(2008, 2012)",AFG
Afghanistan,4.0,% of cultivated land irrigated [harvested crop],4556.0,2017.0,27.5094816688,E,-,0.0,%,"(2013, 2017)",AFG
Afghanistan,4.0,% of cultivated land irrigated [harvested crop],4556.0,2018.0,27.1660424469,E,-,0.0,%,"(2018, 2022)",AFG
Albania,8.0,Total area of the country (excl. coastal water),4100.0,1962.0,2875.0,X,-,6768.0,· 1000 ha,"(1958, 1962)",ALB
Albania,8.0,Total area of the country (excl. coastal water),4100.0,1967.0,2875.0,X,-,6768.0,· 1000 ha,"(1963, 1967)",ALB
Albania,8.0,Total area of the country (excl. coastal water),4100.0,1972.0,2875.0,X,-,6768.0,· 1000 ha,"(1968, 1972)",ALB
Albania,8.0,Total area of the country (excl. coastal water),4100.0,1977.0,2875.0,X,-,6768.0,· 1000 ha,"(1973, 1977)",ALB
Albania,8.0,Total area of the country (excl. coastal water),4100.0,1982.0,2875.0,X,-,6768.0,· 1000 ha,"(1978, 1982)",ALB
Albania,8.0,Total area of the country (excl. coastal water),4100.0,1987.0,2875.0,X,-,6768.0,· 1000 ha,"(1983, 1987)",ALB
