Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Total population,4104.0,1962.0,9351.441,X,-,0.0,· 1000 inhab,"(1958, 1962)",AFG
Afghanistan,4.0,Total population,4104.0,1967.0,10399.926,X,-,0.0,· 1000 inhab,"(1963, 1967)",AFG
Afghanistan,4.0,Total population,4104.0,1972.0,11791.215,X,-,0.0,· 1000 inhab,"(1968, 1972)",AFG
Afghanistan,4.0,Total population,4104.0,1977.0,13171.306,X,-,0.0,· 1000 inhab,"(1973, 1977)",AFG
Afghanistan,4.0,Total population,4104.0,1982.0,12882.528,X,-,0.0,· 1000 inhab,"(1978, 1982)",AFG
Afghanistan,4.0,Total population,4104.0,1987.0,11604.534,X,-,0.0,· 1000 inhab,"(1983, 1987)",AFG
Afghanistan,4.0,Total population,4104.0,1992.0,14485.546,X,-,0.0,· 1000 inhab,"(1988, 1992)",AFG
Afghanistan,4.0,Total population,4104.0,1997.0,19357.126,X,-,0.0,· 1000 inhab,"(1993, 1997)",AFG
Afghanistan,4.0,Total population,4104.0,2002.0,22600.77,X,-,0.0,· 1000 inhab,"(1998, 2002)",AFG
Afghanistan,4.0,Total population,4104.0,2007.0,27100.536,X,-,0.0,· 1000 inhab,"(2003, 2007)",AFG
Afghanistan,4.0,Total population,4104.0,2012.0,31161.376,X,-,0.0,· 1000 inhab,"(2008, 2012)",AFG
Afghanistan,4.0,Total population,4104.0,2017.0,36296.113,X,-,0.0,· 1000 inhab,"(2013, 2017)",AFG
Afghanistan,4.0,Total population,4104.0,2018.0,37171.921,X,-,0.0,· 1000 inhab,"(2018, 2022)",AFG
Afghanistan,4.0,Rural population,4105.0,1962.0,8507.016,X,-,0.0,· 1000 inhab,"(1958, 1962)",AFG
Afghanistan,4.0,Rural population,4105.0,1967.0,9276.202,X,-,0.0,· 1000 inhab,"(1963, 1967)",AFG
Afghanistan,4.0,Rural population,4105.0,1972.0,10267.199,X,-,0.0,· 1000 inhab,"(1968, 1972)",AFG
Afghanistan,4.0,Rural population,4105.0,1977.0,11170.461,X,-,0.0,· 1000 inhab,"(1973, 1977)",AFG
Afghanistan,4.0,Rural population,4105.0,1982.0,10563.504,X,-,0.0,· 1000 inhab,"(1978, 1982)",AFG
