Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,1962.0,327.0,-,-,1603.0,mm/year,"(1958, 1962)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,1967.0,327.0,-,-,1603.0,mm/year,"(1963, 1967)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,1972.0,327.0,-,-,1603.0,mm/year,"(1968, 1972)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,1977.0,327.0,-,-,1603.0,mm/year,"(1973, 1977)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,1982.0,327.0,-,-,1603.0,mm/year,"(1978, 1982)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,1987.0,327.0,-,-,1603.0,mm/year,"(1983, 1987)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,1992.0,327.0,-,-,1603.0,mm/year,"(1988, 1992)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,1997.0,327.0,-,-,1603.0,mm/year,"(1993, 1997)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,2002.0,327.0,-,-,1603.0,mm/year,"(1998, 2002)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,2007.0,327.0,-,-,1603.0,mm/year,"(2003, 2007)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,2012.0,327.0,-,-,1603.0,mm/year,"(2008, 2012)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,2017.0,327.0,-,-,6433.0,mm/year,"(2013, 2017)",AFG
Afghanistan,4.0,Long-term average annual precipitation in depth,4151.0,2018.0,327.0,-,-,0.0,mm/year,"(2018, 2022)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,1962.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(1958, 1962)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,1967.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(1963, 1967)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,1972.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(1968, 1972)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,1977.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(1973, 1977)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,1982.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(1978, 1982)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,1987.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(1983, 1987)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,1992.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(1988, 1992)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,1997.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(1993, 1997)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,2002.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(1998, 2002)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,2007.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(2003, 2007)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,2012.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(2008, 2012)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,2017.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(2013, 2017)",AFG
Afghanistan,4.0,Long-term average annual precipitation in volume,4150.0,2018.0,213.48522,E,-,0.0,· 10⁹ m³/year,"(2018, 2022)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,1967.0,288.52,I,-,0.0,mm/yr,"(1963, 1967)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,1972.0,278.3,I,-,0.0,mm/yr,"(1968, 1972)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,1977.0,301.0,I,-,0.0,mm/yr,"(1973, 1977)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,1982.0,304.0,I,-,0.0,mm/yr,"(1978, 1982)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,1987.0,302.15,I,-,0.0,mm/yr,"(1983, 1987)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,1992.0,304.98,I,-,0.0,mm/yr,"(1988, 1992)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,1997.0,233.0,I,-,0.0,mm/yr,"(1993, 1997)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,2002.0,185.0,I,-,0.0,mm/yr,"(1998, 2002)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,2007.0,185.0,I,-,0.0,mm/yr,"(2003, 2007)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,2012.0,185.0,I,-,0.0,mm/yr,"(2008, 2012)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,2017.0,185.0,I,-,0.0,mm/yr,"(2013, 2017)",AFG
Afghanistan,4.0,National Rainfall Index (NRI),4472.0,2018.0,185.0,I,-,0.0,mm/yr,"(2018, 2022)",AFG
Albania,8.0,Long-term average annual precipitation in depth,4151.0,1962.0,1485.0,X,-,6030.0,mm/year,"(1958, 1962)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,1967.0,1485.0,X,-,6030.0,mm/year,"(1963, 1967)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,1972.0,1485.0,X,-,6030.0,mm/year,"(1968, 1972)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,1977.0,1485.0,X,-,6030.0,mm/year,"(1973, 1977)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,1982.0,1485.0,X,-,6030.0,mm/year,"(1978, 1982)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,1987.0,1485.0,X,-,6030.0,mm/year,"(1983, 1987)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,1992.0,1485.0,X,-,6030.0,mm/year,"(1988, 1992)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,1997.0,1485.0,X,-,6030.0,mm/year,"(1993, 1997)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,2002.0,1485.0,X,-,6030.0,mm/year,"(1998, 2002)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,2007.0,1485.0,X,-,6030.0,mm/year,"(2003, 2007)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,2012.0,1485.0,X,-,6030.0,mm/year,"(2008, 2012)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,2017.0,1485.0,X,-,6433.0,mm/year,"(2013, 2017)",ALB
Albania,8.0,Long-term average annual precipitation in depth,4151.0,2018.0,1485.0,X,-,0.0,mm/year,"(2018, 2022)",ALB
Albania,8.0,Long-term average annual precipitation in volume,4150.0,1962.0,42.69375,E,-,0.0,· 10⁹ m³/year,"(1958, 1962)",ALB
Albania,8.0,Long-term average annual precipitation in volume,4150.0,1967.0,42.69375,E,-,0.0,· 10⁹ m³/year,"(1963, 1967)",ALB
Albania,8.0,Long-term average annual precipitation in volume,4150.0,1972.0,42.69375,E,-,0.0,· 10⁹ m³/year,"(1968, 1972)",ALB
Albania,8.0,Long-term average annual precipitation in volume,4150.0,1977.0,42.69375,E,-,0.0,· 10⁹ m³/year,"(1973, 1977)",ALB
Albania,8.0,Long-term average annual precipitation in volume,4150.0,1982.0,42.69375,E,-,0.0,· 10⁹ m³/year,"(1978, 1982)",ALB
Albania,8.0,Long-term average annual precipitation in volume,4150.0,1987.0,42.69375,E,-,0.0,· 10⁹ m³/year,"(1983, 1987)",ALB
Albania,8.0,Long-term average annual precipitation in volume,4150.0,1992.0,42.69375,E,-,0.0,· 10⁹ m³/year,"(1988, 1992)",ALB
Albania,8.0,Long-term average annual precipitation in volume,4150.0,1997.0,42.69375,E,-,0.0,· 10⁹ m³/year,"(1993, 1997)",ALB
