Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Total renewable surface water,4185.0,1962.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(1958, 1962)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,1967.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(1963, 1967)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,1972.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(1968, 1972)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,1977.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(1973, 1977)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,1982.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(1978, 1982)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,1987.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(1983, 1987)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,1992.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(1988, 1992)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,1997.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(1993, 1997)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,2002.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(1998, 2002)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,2007.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(2003, 2007)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,2012.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(2008, 2012)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,2017.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(2013, 2017)",AFG
Afghanistan,4.0,Total renewable surface water,4185.0,2018.0,55.68,E,-,0.0,· 10⁹ m³/yr,"(2018, 2022)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,1962.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(1958, 1962)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,1967.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(1963, 1967)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,1972.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(1968, 1972)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,1977.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(1973, 1977)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,1982.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(1978, 1982)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,1987.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(1983, 1987)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,1992.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(1988, 1992)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,1997.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(1993, 1997)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,2002.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(1998, 2002)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,2007.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(2003, 2007)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,2012.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(2008, 2012)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,2017.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(2013, 2017)",AFG
Afghanistan,4.0,Total renewable groundwater,4187.0,2018.0,10.65,E,-,0.0,· 10⁹ m³/yr,"(2018, 2022)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,1962.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(1958, 1962)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,1967.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(1963, 1967)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,1972.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(1968, 1972)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,1977.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(1973, 1977)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,1982.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(1978, 1982)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,1987.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(1983, 1987)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,1992.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(1988, 1992)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,1997.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(1993, 1997)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,2002.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(1998, 2002)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,2007.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(2003, 2007)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,2012.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(2008, 2012)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,2017.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(2013, 2017)",AFG
Afghanistan,4.0,Overlap: between surface water and groundwater,4536.0,2018.0,1.0,E,-,0.0,· 10⁹ m³/yr,"(2018, 2022)",AFG
Afghanistan,4.0,Total renewable water resources,4188.0,1962.0,65.33,E,-,0.0,· 10⁹ m³/yr,"(1958, 1962)",AFG
Afghanistan,4.0,Total renewable water resources,4188.0,1967.0,65.33,E,-,0.0,· 10⁹ m³/yr,"(1963, 1967)",AFG
Afghanistan,4.0,Total renewable water resources,4188.0,1972.0,65.33,E,-,0.0,· 10⁹ m³/yr,"(1968, 1972)",AFG
Afghanistan,4.0,Total renewable water resources,4188.0,1977.0,65.33,E,-,0.0,· 10⁹ m³/yr,"(1973, 1977)",AFG
Afghanistan,4.0,Total renewable water resources,4188.0,1982.0,65.33,E,-,0.0,· 10⁹ m³/yr,"(1978, 1982)",AFG
Afghanistan,4.0,Total renewable water resources,4188.0,1987.0,65.33,E,-,0.0,· 10⁹ m³/yr,"(1983, 1987)",AFG
