Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Albania,8.0,Produced municipal wastewater,4269.0,2012.0,0.0,-," [P-Observations-N] | Value pertains only to domestic wastewater production. Value is an FAO-IWMI estimate (wastewater production= 80% of residential water consumption (L/P/D) x urban population). The source for residential water consumption is taken from the IBNet database""",-,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2008, 2012)",ALB
Albania,8.0,Produced municipal wastewater,4269.0,2015.0,0.0498,-,-,6909.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2013, 2017)",ALB
Albania,8.0,Treated municipal wastewater,4270.0,2017.0,0.0205,-,-,6910.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2013, 2017)",ALB
Albania,8.0,Treated municipal wastewater,4270.0,2018.0,0.0205,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2018, 2022)",ALB
Albania,8.0,Number of municipal wastewater treatment facilities,4515.0,2007.0,1.0,-,-,6201.0,-,"(2003, 2007)",ALB
Albania,8.0,Number of municipal wastewater treatment facilities,4515.0,2012.0,4.0,-,-,6201.0,-,"(2008, 2012)",ALB
Albania,8.0,Number of municipal wastewater treatment facilities,4515.0,2017.0,7.0,I,-,0.0,-,"(2013, 2017)",ALB
Albania,8.0,Number of municipal wastewater treatment facilities,4515.0,2018.0,7.0,I,-,0.0,-,"(2018, 2022)",ALB
Albania,8.0,Direct use of treated municipal wastewater,4265.0,2018.0,0.0,I,-,0.0,· 10⁹ m³/yr,"(2018, 2022)",ALB
Algeria,12.0,Produced municipal wastewater,4269.0,1987.0,0.6656,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(1983, 1987)",DZA
Algeria,12.0,Produced municipal wastewater,4269.0,1992.0,0.6796,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(1988, 1992)",DZA
Algeria,12.0,Produced municipal wastewater,4269.0,1997.0,0.6936,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(1993, 1997)",DZA
Algeria,12.0,Produced municipal wastewater,4269.0,2002.0,0.7076,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(1998, 2002)",DZA
Algeria,12.0,Produced municipal wastewater,4269.0,2007.0,0.7216,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2003, 2007)",DZA
Algeria,12.0,Produced municipal wastewater,4269.0,2012.0,0.82,-," [P-Reference Area-N] | Domestic wastewater produced outside urban areas might have also been considered""",6405.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2008, 2012)",DZA
Algeria,12.0,Produced municipal wastewater,4269.0,2017.0,1.5,-,-,6917.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2013, 2017)",DZA
Algeria,12.0,Produced municipal wastewater,4269.0,2018.0,1.5,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2018, 2022)",DZA
Algeria,12.0,Collected municipal wastewater,4493.0,2017.0,0.705,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2013, 2017)",DZA
Algeria,12.0,Collected municipal wastewater,4493.0,2018.0,0.705,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2018, 2022)",DZA
Algeria,12.0,Treated municipal wastewater,4270.0,2011.0,0.237,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2008, 2012)",DZA
Algeria,12.0,Treated municipal wastewater,4270.0,2017.0,0.4,-,-,6909.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2013, 2017)",DZA
Algeria,12.0,Treated municipal wastewater,4270.0,2018.0,0.4,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2018, 2022)",DZA
Algeria,12.0,Number of municipal wastewater treatment facilities,4515.0,2002.0,44.1428571429,I,-,0.0,-,"(1998, 2002)",DZA
Algeria,12.0,Number of municipal wastewater treatment facilities,4515.0,2007.0,44.8571428571,I,-,0.0,-,"(2003, 2007)",DZA
Algeria,12.0,Number of municipal wastewater treatment facilities,4515.0,2012.0,138.0,-," [P-Reference Area-N] | Most common treatment types are lagoons and activated sludge""",6421.0,-,"(2008, 2012)",DZA
Algeria,12.0,Number of municipal wastewater treatment facilities,4515.0,2017.0,138.0,I,-,0.0,-,"(2013, 2017)",DZA
Algeria,12.0,Number of municipal wastewater treatment facilities,4515.0,2018.0,138.0,I,-,0.0,-,"(2018, 2022)",DZA
Algeria,12.0,Capacity of the municipal wastewater treatment facilities,4516.0,2012.0,0.27,I,-,0.0,· 10⁹ m³/yr,"(2008, 2012)",DZA
Algeria,12.0,Capacity of the municipal wastewater treatment facilities,4516.0,2017.0,0.27,I,-,0.0,· 10⁹ m³/yr,"(2013, 2017)",DZA
Algeria,12.0,Capacity of the municipal wastewater treatment facilities,4516.0,2018.0,0.27,I,-,0.0,· 10⁹ m³/yr,"(2018, 2022)",DZA
Algeria,12.0,Not treated municipal wastewater,4491.0,2011.0,0.42675,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2008, 2012)",DZA
Algeria,12.0,Not treated municipal wastewater,4491.0,2017.0,0.496,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2013, 2017)",DZA
Algeria,12.0,Not treated municipal wastewater,4491.0,2018.0,0.496,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2018, 2022)",DZA
Algeria,12.0,Not treated municipal wastewater discharged (secondary water),4517.0,2012.0,0.219,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2008, 2012)",DZA
Algeria,12.0,Not treated municipal wastewater discharged (secondary water),4517.0,2017.0,0.219,I,-,0.0,km<sup>3</sup>/year or · 10^9m<sup>3</sup>/year,"(2013, 2017)",DZA
