Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md1,Md2,Units,Period,ISOCode
Afghanistan,4.0,Fresh surface water withdrawal,4261.0,2002.0,17.24,I,-,0.0,· 10⁹ m³/yr,"(1998, 2002)",AFG
Afghanistan,4.0,Fresh surface water withdrawal,4261.0,2007.0,17.24,I,-,0.0,· 10⁹ m³/yr,"(2003, 2007)",AFG
Afghanistan,4.0,Fresh surface water withdrawal,4261.0,2012.0,17.24,I,-,0.0,· 10⁹ m³/yr,"(2008, 2012)",AFG
Afghanistan,4.0,Fresh surface water withdrawal,4261.0,2017.0,17.24,I,-,0.0,· 10⁹ m³/yr,"(2013, 2017)",AFG
Afghanistan,4.0,Fresh surface water withdrawal,4261.0,2018.0,17.24,I,-,0.0,· 10⁹ m³/yr,"(2018, 2022)",AFG
Afghanistan,4.0,Fresh groundwater withdrawal,4262.0,2002.0,3.042,I,-,0.0,· 10⁹ m³/yr,"(1998, 2002)",AFG
Afghanistan,4.0,Fresh groundwater withdrawal,4262.0,2007.0,3.042,I,-,0.0,· 10⁹ m³/yr,"(2003, 2007)",AFG
Afghanistan,4.0,Fresh groundwater withdrawal,4262.0,2012.0,3.042,I,-,0.0,· 10⁹ m³/yr,"(2008, 2012)",AFG
Afghanistan,4.0,Fresh groundwater withdrawal,4262.0,2017.0,3.042,I,-,0.0,· 10⁹ m³/yr,"(2013, 2017)",AFG
Afghanistan,4.0,Fresh groundwater withdrawal,4262.0,2018.0,3.042,I,-,0.0,· 10⁹ m³/yr,"(2018, 2022)",AFG
Afghanistan,4.0,Total freshwater withdrawal,4263.0,1977.0,13.2685166667,I,-,0.0,· 10⁹ m³/yr,"(1973, 1977)",AFG
Afghanistan,4.0,Total freshwater withdrawal,4263.0,1982.0,19.6898083333,I,-,0.0,· 10⁹ m³/yr,"(1978, 1982)",AFG
Afghanistan,4.0,Total freshwater withdrawal,4263.0,1987.0,26.1111,E,-,0.0,· 10⁹ m³/yr,"(1983, 1987)",AFG
Afghanistan,4.0,Total freshwater withdrawal,4263.0,1992.0,23.4603167832,E,-,0.0,· 10⁹ m³/yr,"(1988, 1992)",AFG
Afghanistan,4.0,Total freshwater withdrawal,4263.0,1997.0,20.8095335664,E,-,0.0,· 10⁹ m³/yr,"(1993, 1997)",AFG
